00:45:00.918 INFO  speaker | run 20260618-004500 started (debug=True) -> logs/runs/run-20260618-004500.txt
00:45:00.942 INFO  speaker.sysinfo | system baseline: gpu=12.0% gpu_mem=74.0/16376.0MB
00:45:00.964 INFO  speaker | device profile auto-selected: desktop (NVIDIA GPU 8-16 GB VRAM: gemma3:12b on the edge; use the 'desktop' default)
00:45:01.673 INFO  speaker.sysinfo | system mark after_build: gpu=12.0% gpu_mem=74.0/16376.0MB
00:45:01.673 INFO  speaker.runtime | capabilities (9): agent.react, assistant.answer, command.stage, dictation.clean, meeting.note, research.local, research.scope, search.local, web.search
00:45:04.197 INFO  speaker.sherpa | second-pass final ASR: sense_voice (/home/dobo/work/speaker/pretrained_models/sherpa/sense_voice/model.int8.onnx)
00:45:04.197 INFO  speaker.sherpa | second-pass final ASR runs ASYNC (off the capture thread)
00:45:04.214 INFO  speaker.sherpa | coherence barge-in ACTIVE (scale-invariant, no enrollment; band (300.0, 3400.0) Hz, margin delta 0.08, confirm 2 frames)
00:45:05.074 WARNING speaker.sherpa | final_floor_margin_db=6.0 is set but the L1 echo-floor gate is INERT: no learned floor (enable aec_enabled=true OR input_loudness_margin_db>0). Harmless on an echo-free setup; required for open-speaker echo rejection.
00:45:05.075 INFO  speaker.sherpa | speaker-ID gate enrolled (threshold=0.50, input gating=False)
00:45:05.075 INFO  speaker.sherpa | input device: default
00:45:05.075 INFO  speaker.sherpa | output device: default
00:45:05.075 INFO  speaker.sherpa | models: recognizer=True vad=True tts=True kws=False
00:45:05.177 INFO  speaker.runtime | capture state: open (opened at 16000 Hz)
00:45:05.178 INFO  speaker.sherpa | recording session audio -> logs/runs/run-20260618-004500.wav
00:45:05.178 INFO  speaker.sherpa | recording playback reference (replay) -> logs/runs/run-20260618-004500.ref.wav
00:45:05.180 INFO  speaker.sherpa | capture loop started (capture_sr=16000 -> asr_sr=16000)
00:45:05.213 INFO  speaker.sherpa | sherpa TTS warm-up complete
00:45:05.432 INFO  speaker.runtime | startup pre-warm complete (1 model(s))
00:45:06.718 DEBUG speaker.sherpa | asr partial: 'Pooh'
00:45:06.719 DEBUG speaker.supervisor | decision: kind=ignore confidence=0.80 reason=partial_non_control mode=assistant text='Pooh'
00:45:07.211 DEBUG speaker.sherpa | capture heartbeat: blocks=20 avg_rms=0.4949 clip=29.4% underruns=0 partials=1 finals=0 speaking=False
00:45:07.211 WARNING speaker.sherpa | input is CLIPPING (29.4% of samples railed, avg_rms=0.495) -- mic gain too HOT; the recognizer is fed a shredded waveform. Lower the OS mic input level / disable 'mic boost' (target rms ~0.1-0.2).
00:45:07.675 INFO  speaker.sherpa | asr final: 'Okay.' (raw 'POOH')
00:45:07.675 INFO  speaker.runtime | final -> brain: 'Okay.' (mode=assistant)
00:45:07.675 INFO  speaker.runtime | route: action=simple tier=fast conf=0.85 source=heuristic (no gather/action markers) for 'Okay.'
00:45:07.675 DEBUG speaker.supervisor | decision: kind=assistant confidence=0.75 reason=assistant_mode mode=assistant text='Okay.'
00:45:07.676 INFO  speaker.tasks | task e2d8ade06c98 started: mode=assistant capability=assistant.answer input='Okay.'
00:45:07.686 INFO  speaker.llm | answering on fast tier (sensitivity=private, intent=assistant): 'Okay.'
00:45:07.686 INFO  speaker.llm | fast tier done in 0.00s (15 chars, streamed)
00:45:07.686 INFO  speaker.tasks | task e2d8ade06c98 completed in 0.01s (15 chars)
00:45:07.686 INFO  speaker.runtime | assistant: 'You said: Okay.'
00:45:07.687 DEBUG speaker.sherpa | speaking: 'You said: Okay.' (queue depth=0)
00:45:07.764 INFO  speaker.sherpa | playback opened at 22050 Hz on device default (callback)
